,Solteiros,Casados,Viúvos,Solteiras,Casadas,Viúvas
0,24959,5105,919,19214,4714,1720
1,94848,28935,4806,86825,26280,6085
2,103283,33644,5015,102302,32337,7520
3,63294,23323,3705,59547,23371,5187
4,241692,99915,9299,224509,99849,14509
5,80803,26832,5086,75915,26735,5588
6,119403,53474,6556,112332,53274,9661
7,258936,111189,11440,240239,111465,19242
8,102729,47865,4990,99772,46743,10169
9,48013,24027,2699,50746,24795,3340
10,440556,160204,29593,398473,151883,31083
11,19415,9298,894,19251,9449,1171
12,104036,25763,4081,64074,20174,7905
13,168391,71842,15573,148840,68726,16715
14,234386,98864,15054,218684,96290,17464
15,37977,18649,2678,35006,18332,3520
16,49985,21351,1752,47122,20412,4196
17,139899,45104,6019,124864,41525,9611
18,572728,231947,42917,557389,217353,46942
19,51886,20696,2386,50125,20340,4310
20,18227,7839,1925,17353,6953,1453
21,2975446,1165866,177387,2752582,1121000,227391
