,Homens,Mulheres,Total
0,30983,2564,56631
1,128589,11919,247779
2,141942,14215,284101
3,90322,8810,178427
4,350906,33886,689773
5,112721,10823,220959
6,179433,17526,354700
7,381565,37094,752511
8,155584,15667,312268
9,74739,7888,153620
10,630353,58143,1211792
11,29607,29871,59478
12,133880,92153,226033
13,255806,234281,499087
14,348304,332438,680742
15,59384,56858,116162
16,73088,71730,144818
17,191022,176000,367022
18,847592,821684,1669276
19,74968,74775,149743
20,27991,25759,53750
21,4318699,4100973,8419672
