,Sabem ler e escrever,Analfabetos,Sabem ler e escrever,Analfabetos,Frequentam escolas,Não frequentam,Total,Frequentam escolas,Não frequentam,Total
0,6160,24823,1453,24195,824,5056,5880,371,3269,3640
1,39718,88871,20677,98513,5768,25753,31521,3441,25020,28461
2,44375,97567,24196,117963,8739,28142,36881,4844,29567,34411
3,17677,72645,10093,78012,1777,15960,17737,1024,16968,17992
4,58657,292249,20903,317964,10021,83808,93829,5399,85087,90486
5,23602,39119,16220,92018,2643,18662,21305,2058,19857,21915
6,29224,150209,11988,163279,6630,44061,50691,3894,45830,49724
7,92664,288901,54659,316287,14069,82133,96202,9301,80960,90261
8,26046,129538,15814,140870,5455,34261,39716,4028,34726,38754
9,18687,56052,10447,68434,3402,14934,18336,1832,17333,19165
10,161937,468416,37135,494304,22260,119426,141686,81743,113313,195056
11,7229,22378,2503,27368,1564,5323,6887,722,5101,6823
12,65164,68714,33992,58101,5788,10449,22237,4258,15019,19277
13,69997,185809,44603,189678,12622,32019,44641,8194,33089,41283
14,92977,255327,48090,284348,15069,71271,86340,8544,73915,82458
15,19014,40299,12802,44056,2558,9666,12224,1866,10762,12628
16,12927,59161,7999,63731,3100,15676,18776,2114,15473,17587
17,5592,134060,38341,137659,9947,36222,46169,7947,33292,41239
18,145297,702295,78271,743413,19968,66983,125012,11940,112824,124764
19,15699,59299,6987,67788,2566,16864,19430,1240,16982,18222
20,7114,20877,3808,21951,881,5401,6282,338,6187,6525
21,1012097,3306602,550981,3549992,155651,786131,941782,165098,795574,960672
