,Brancos,Pardos,Pretos,Caboclos,Brancas,Pardas,Pretas,Caboclas
0,6911,4210,711,19151,4300,3046,625,17677
1,49663,46899,9200,22827,42971,46828,7629,21762
2,52267,71662,12504,5509,51246,72699,12780,5434
3,22208,53474,7505,7135,21239,53191,7357,6318
4,136940,172841,14424,26701,131896,166325,14510,26136
5,52835,42213,12202,5471,49630,41877,11163,5568
6,73475,89921,11155,4882,71246,88675,10661,4685
7,149930,194897,30795,5943,141229,192954,30901,5862
8,45343,98916,8220,3105,43455,101283,8687,3259
9,24358,39524,9321,1536,25420,42059,9851,1551
10,178605,287131,137574,27043,152874,278573,127153,22839
11,13555,9648,3395,3009,13027,10881,3443,2520
12,96255,22762,14198,665,55544,22083,14268,258
13,160595,61542,29517,4152,142680,59703,28198,3700
14,221260,76288,29512,21244,212172,75018,27027,18221
15,35936,15358,3292,4718,33762,15278,3449,4369
16,63502,5941,2199,1446,62440,5796,2048,1446
17,136094,24487,17828,12613,122273,24179,16444,13104
18,421861,302948,105507,17276,409126,295865,101647,15046
19,21152,42482,9088,2246,20777,43907,8087,2004
20,9027,10827,3861,4276,8210,10087,3214,4248
21,1971772,1673971,472008,200948,1815517,1650307,449142,186007
