,,,,Estados civis,,,,,,Raças,,,,Religião,,,,Nacionalidades,,,,Instrução,,,,
,Sexos,,,dos homens,,,das mulheres,,,dos homens,,das mulheres,,dos homens,,das mulheres,,dos homens,,das mulheres,,dos homens,,das mulheres,,
Províncias e Município Neutro,Homens,Mulheres,Total,Solteiros,Casados,Viúvos,Solteiras,Casadas,Viúvas,Pardos,Pretos,Pardas,Pretas,Católicos,Acatólicos,Católicas,Acatólicas,Brasileiros,Estrangeiros,Brasileiras,Estrangeiras,Sabem ler e escrever,Analfabetos,Sabem ler e escrever,Analfabetas,
Amazonas,487,492,979,473,9,5,482,7,3,201,286,171,321,487,0,492,0,479,8,487,5,0,487,0,492,
Pará,13908,13550,27458,12703,933,272,12468,760,322,5747,8161,5837,7713,13908,0,13550,0,13606,302,13300,250,68,13840,21,13529,
Maranhão,36889,38050,74939,35193,1356,340,36383,1291,376,11679,25210,11652,26398,36889,0,38050,0,35934,955,37264,786,51,36838,21,38029,
Piauí,11945,11850,23795,10859,869,217,11267,432,151,4626,7319,5208,6642,11945,0,11850,0,11780,165,11773,77,6,11939,0,11850,
Ceará,14941,16972,31913,13870,919,152,15797,979,196,8539,6402,9715,7257,14941,0,16972,0,14904,37,16910,62,35,14906,12,16960,
Rio Grande do Norte,6571,6449,13020,6203,307,61,6099,283,67,3183,3388,3171,3278,6571,0,6449,0,6328,243,6271,178,4,6567,3,6446,
Paraíba,10681,10845,21526,9810,738,133,9941,697,207,4730,5951,4910,5935,10681,0,10845,0,10579,102,10762,83,26,10655,35,10810,
Pernambuco,47023,42005,89028,41978,4199,846,37230,8702,1073,13516,33507,12122,29883,47023,0,42005,0,45236,1787,40708,1297,105,46918,52,41958,
Alagoas,17913,17828,35741,15757,1787,369,16033,1396,399,5072,12841,5531,12297,17903,0,17828,0,16466,1447,16898,930,32,17881,21,17807,
Sergipe,10840,11783,22623,9495,1206,139,10407,1244,132,4644,6196,4796,6987,10840,0,11783,0,10228,612,11000,783,0,10840,0,11788,
Bahia,89094,78730,167824,69991,15028,4075,63411,11730,3589,37297,51797,28071,50659,89094,0,78730,0,83186,5908,74357,4373,49,89045,15,78715,
Espírito Santo,11859,10800,22659,10163,1457,239,9252,1335,213,3407,8452,3445,7355,11859,0,10800,0,10571,1288,9826,974,1,11858,0,10800,
Município Neutro,24886,24053,48939,24525,243,118,23584,262,207,5275,19611,5786,18267,24886,0,24053,0,18009,6877,19957,4096,220,24666,109,23944,
Rio de Janeiro,162394,130243,292637,146709,12268,3417,115554,11230,3459,43595,118799,36234,94009,162394,0,130243,0,126875,35519,109500,20743,79,162315,28,180215,
São Paulo,88040,68572,156612,74414,11437,2189,56484,9887,2201,24474,63566,20678,47894,88040,0,68572,0,79607,8433,63950,4622,81,87959,23,68549,
Paraná,5506,5054,19560,5108,323,75,4711,257,86,2010,3496,2099,2955,5506,0,5054,0,5029,477,4793,261,6,5500,2,5052,
Santa Catarina,8069,6915,14984,7905,126,98,6766,95,54,2583,5486,2274,4641,8069,0,6915,0,7238,831,6618,297,26,8043,20,6895,
Rio Grande do Sul,35686,32105,67791,34699,814,173,30933,889,283,11560,24126,11031,21074,35686,0,32105,0,32391,3295,30296,1809,63,35623,37,82068,
Minas Gerais,199434,171025,370459,174136,18196,7102,148737,15741,6547,57116,142318,48540,122485,199434,0,171025,0,182501,16933,159810,11215,99,199335,46,170979,
Goiás,5372,5280,10652,4709,511,152,4675,445,160,2045,3327,2064,3216,5372,0,5280,0,5283,89,5229,51,7,5365,0,5280,
Mato Grosso,3632,3035,6667,3169,353,110,2590,354,91,1525,2107,1345,1690,3632,0,3035,0,3400,232,2907,128,0,3632,0,3035,
Soma,805170,705636,1510806,711869,73079,20222,622804,63016,19816,252824,552346,224680,480956,805170,0,705636,0,719630,85540,652616,53020,958,804212,445,705191, 
